Image_name;Cell_id;RgbMean_r;RgbMean_g;RgbMean_b;Canny_thresh_10;Canny_thresh_15;Canny_thresh_20;Canny_thresh_25;Canny_thresh_30;Canny_thresh_35;Canny_thresh_40;Canny_thresh_45;Canny_thresh_50;Canny_thresh_55;Canny_thresh_60;Canny_thresh_65;Canny_thresh_70;Canny_thresh_75;Canny_thresh_80;Canny_thresh_85;Canny_thresh_90;Canny_thresh_95;Canny_thresh_100;Mean;Modus;Mean_dev;Modus_dev;Harris_Q0.02_D5;Harris_Q0.02_D10;Harris_Q0.02_D20;Harris_Q0.16_D5;Harris_Q0.16_D10;Harris_Q0.16_D20;Road;Main_road;Laws_W7_b;Laws_W7_o;Laws_W7_r;Laws_W7_v_r;Laws_W7_v_u;Laws_W11_b;Laws_W11_o;Laws_W11_r;Laws_W11_v_r;Laws_W11_v_u;Laws_W15_b;Laws_W15_o;Laws_W15_r;Laws_W15_v_r;Laws_W15_v_u;Laws_W31_b;Laws_W31_o;Laws_W31_r;Laws_W31_v_r;Laws_W31_v_u
D:\urban\sg500\1\01.bmp;52;53.8338;63.2516;64.7555;839;765;680;623;591;525;488;464;437;336;310;272;271;271;245;162;101;99;56;175.82;180;53.1951;53.359;0;0;0;0;0;0;0;0;1436;74;218;1015;1101;1453;90;245;1130;926;1082;244;431;1202;885;506;352;603;1973;410
D:\urban\sg500\1\01.bmp;53;56.3306;66.2438;67.5996;796;638;457;396;344;301;228;212;197;196;178;172;112;111;86;85;68;68;68;169.586;180;60.3275;61.3747;0;0;0;0;0;0;0;0;1032;156;116;441;2099;815;315;188;617;1909;197;438;392;819;1998;109;330;985;309;2111
D:\urban\sg500\1\01.bmp;54;36.3694;50.5879;51.5268;555;432;261;175;131;113;99;79;66;61;47;18;17;11;11;10;0;0;0;183.883;180;10.8862;11.5897;0;0;0;0;0;0;0;0;213;2;0;369;3260;312;0;0;238;3294;86;0;0;411;3347;19;13;3;357;3452
D:\urban\sg500\1\01.bmp;55;45.764;57.257;59.346;876;836;730;666;598;537;476;461;368;345;330;284;218;174;133;120;75;75;75;181.869;180;46.5257;46.8966;2;2;2;0;0;0;69;0;827;211;183;1538;1085;1116;201;204;1232;1091;956;296;266;1129;1197;404;309;366;1657;1108
D:\urban\sg500\1\01.bmp;56;69.8078;72.7591;74.4763;817;745;703;661;652;640;611;549;519;415;375;265;229;229;207;120;110;110;109;169.489;0;100.5;124.907;0;0;0;0;0;0;649;0;964;474;638;1018;750;649;697;789;1304;405;398;1185;1072;922;267;62;1329;1622;488;343
D:\urban\sg500\1\01.bmp;57;70.4971;71.6504;74.5159;791;730;678;657;646;634;593;563;529;529;525;423;378;371;353;316;187;109;101;196.971;0;100.156;112.264;0;0;0;0;0;0;906;0;1157;805;634;1186;62;849;1225;572;1170;28;370;1813;756;905;0;371;1936;1045;489;3
D:\urban\sg500\1\01.bmp;58;47.3939;50.9404;55.6465;955;861;825;773;732;707;672;654;599;576;504;453;434;361;340;330;314;239;143;204.597;210;71.4616;69.7511;1;1;1;1;1;1;556;0;1069;226;106;2336;107;1172;352;37;2230;53;1043;469;0;2312;20;728;364;6;2746;0
D:\urban\sg500\1\01.bmp;59;47.4662;49.9074;54.2453;1017;981;948;926;800;773;739;674;566;553;512;480;369;357;316;315;257;186;178;196.416;210;79.6232;74.882;7;3;3;2;2;2;224;0;1181;126;23;2510;4;1537;74;0;2233;0;1792;157;0;1895;0;1229;174;35;2406;0
D:\urban\sg500\1\01.bmp;60;50.0739;58.1472;60.3684;862;747;438;367;326;255;199;169;152;146;121;116;40;28;3;3;0;0;0;174.202;180;67.8305;68.0884;0;0;0;0;0;0;0;0;495;48;182;726;2393;392;168;334;495;2455;31;202;259;760;2592;0;190;182;838;2634
D:\urban\sg500\1\01.bmp;61;63.262;62.9066;64.019;902;849;787;706;677;632;608;567;508;483;465;374;310;307;269;268;206;205;153;132.061;0;94.5849;128.514;3;3;2;0;0;0;0;0;1475;240;77;1339;713;1853;260;174;1041;516;1892;349;344;896;363;886;599;848;1318;193
D:\urban\sg500\1\01.bmp;62;72.2071;68.2216;68.9037;1012;997;959;946;932;922;874;848;823;806;777;773;754;742;622;591;542;480;367;130.043;0;99.9973;115.203;7;5;3;3;2;2;0;0;1891;401;162;1227;163;2503;274;167;858;42;2497;301;355;681;10;1752;474;1201;417;0
D:\urban\sg500\1\01.bmp;63;83.2203;83.698;84.764;953;936;861;828;808;751;692;674;633;594;556;539;482;447;429;404;382;321;321;131.295;0;97.382;118.104;12;8;3;1;1;1;25;0;1662;469;448;1091;174;1938;427;632;754;93;1484;467;1172;678;43;975;539;1825;474;31
D:\urban\sg500\1\01.bmp;64;64.4709;70.6124;71.5874;821;731;671;646;633;626;601;573;564;558;528;395;388;355;310;294;293;292;262;162.12;180;85.2993;87.6172;3;3;2;0;0;0;636;0;1000;350;522;1062;910;901;399;608;1254;682;391;573;921;1416;543;129;1402;1123;425;765
D:\urban\sg500\1\01.bmp;65;59.8265;63.602;66.1795;797;744;707;672;668;660;657;636;601;584;553;377;310;246;226;208;193;147;141;188.786;0;88.8162;130.551;3;3;2;1;1;1;713;0;1283;839;113;1290;319;1121;1035;76;1525;87;757;1389;120;1562;16;212;3082;38;511;1
D:\urban\sg500\1\01.bmp;66;59.083;60.82;63.1896;910;873;741;724;699;635;613;606;584;536;453;353;284;274;162;161;138;80;65;176.012;0;102.546;120.104;1;0;0;0;0;0;622;0;1081;543;253;1672;295;1054;737;153;1616;284;830;1005;174;1548;287;531;1565;252;1379;117
D:\urban\sg500\1\01.bmp;67;63.732;65.0083;66.4363;933;862;778;694;665;608;565;548;538;466;395;393;274;213;158;143;125;124;118;145.368;0;102.654;111.255;1;1;0;0;0;0;301;0;991;150;562;1304;837;1257;239;489;1067;792;970;484;602;1021;767;493;785;706;1086;774
D:\urban\sg500\1\01.bmp;68;75.1727;72.1681;74.9781;1039;1010;973;952;937;915;880;876;848;820;732;715;659;639;606;578;512;441;357;200.537;0;112.473;91.1517;12;11;5;5;5;4;633;0;2130;278;432;994;10;2705;173;404;562;0;2725;217;588;314;0;2233;396;1137;78;0
